"Tabela 2031 - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência por posição na ocupação e categoria do emprego no trabalho principal"
"Variável - Pessoas de 10 anos ou mais de idade ocupadas na semana de referência - percentual do total geral"
"Cód.","Município","Ano x Posição na ocupação e categoria do emprego no trabalho principal"
"Cód.","Município","2000",,,,,,,,,"2010"
"Cód.","Município","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria","Total","Empregado","Empregado - com carteira de trabalho assinada","Empregado - militar e funcionário público estatutário","Empregado - outro sem carteira de trabalho assinada","Não remunerado em ajuda a membro do domicílio","Trabalhador na produção para o próprio consumo","Empregador","Conta própria"
"1200708","Xapuri (AC)","100.00","50.17","21.10","5.75","23.32","9.64","4.48","0.76","34.95","100.00","54.90","24.77","3.48","26.66","3.17","16.34","1.14","24.45"
"1200807","Porto Acre (AC)","100.00","34.31","11.38","4.90","18.02","10.08","8.58","0.38","46.66","100.00","67.30","25.97","0.29","41.05","3.84","13.15","0.10","15.60"
"1300029","Alvarães (AM)","100.00","18.06","4.20","8.61","5.25","26.73","8.11","0.69","46.42","100.00","30.56","5.90","3.30","21.36","0.92","26.35","1.30","40.87"
"1300060","Amaturá (AM)","100.00","30.29","6.81","10.32","13.16","10.33","35.62","0.23","23.54","100.00","33.63","3.32","10.38","19.93","5.83","37.58","-","22.95"
"1300086","Anamã (AM)","100.00","22.77","1.46","5.74","15.56","6.61","34.19","0.81","35.63","100.00","33.95","2.28","5.40","26.28","2.10","30.89","0.69","32.38"
"1300102","Anori (AM)","100.00","29.93","1.95","7.71","20.27","12.13","13.60","0.55","43.79","100.00","28.46","3.09","9.33","16.05","5.30","31.96","0.06","34.23"
"1300144","Apuí (AM)","100.00","28.47","3.85","4.12","20.50","29.12","20.43","0.87","21.11","100.00","52.19","6.71","7.39","38.09","2.86","10.60","0.60","33.75"
"1300201","Atalaia do Norte (AM)","100.00","42.67","9.34","9.65","23.68","2.07","31.56","1.10","22.60","100.00","32.08","6.29","5.98","19.80","0.67","43.67","-","23.59"
"1300300","Autazes (AM)","100.00","38.83","3.72","10.16","24.95","13.17","11.33","2.56","34.11","100.00","40.56","4.65","8.58","27.34","2.39","24.59","0.61","31.85"
"1300409","Barcelos (AM)","100.00","33.03","2.63","7.38","23.03","5.52","6.10","0.24","55.10","100.00","51.55","10.23","12.75","28.57","3.90","21.46","0.82","22.27"
